cpg_id,chr,mapinfo,genes,directions,n_t1_pairs,saliva_ok,blood_ok,buccal_ok,n_tissues_ok,rho_saliva_epic,rho_saliva_450k,rho_blood_epic,rho_blood_450k,rho_buccal_epic,rho_blood_saliva_450k,gene_annot,island_density,open_sea,design_type,saliva_amaze_raw,saliva_amaze_adj,blood_amaze_raw,blood_amaze_adj,buccal_amaze_raw,buccal_amaze_adj,grade,confirmed_tissues,hannon_cortical_raw,hannon_cortical_adj,hannon_cerebellum_raw,blood_hannon_ok,grade_v3,sommerer_buccal_R,buccal_sommerer_ok,n_independent_cohorts,grade_v4,strict_qc
cg00864171,11,67383662,GSTP1,1,1,TRUE,TRUE,TRUE,3,0.764935064935065,0.987878787878788,0.832467532467532,0.975757575757576,0.867532467532467,0.963636363636364,,7,FALSE,II,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,A,saliva;blood;buccal,0.6594,0.6464,0.6262,TRUE,A+,0.7194,TRUE,4,A++,TRUE
cg00897404,16,75182368,ZFP1,-1,1,TRUE,TRUE,TRUE,3,0.764935064935065,0.6,0.774025974025974,0.818181818181818,0.767532467532468,0.563636363636364,ZFP1,11,FALSE,I,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,B,,0.7379,0.7084,0.7594,TRUE,B,0.6669,TRUE,3,B,TRUE
cg01017244,2,74357527,AC073263.1;BOLA3-AS1;FNBP1P1,1;1;1,3,TRUE,TRUE,TRUE,3,0.550649350649351,0.660606060606061,0.867532467532467,0.745454545454545,0.633766233766234,0.527272727272727,,2,FALSE,II,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,A,saliva;blood;buccal,0.8131,0.7947,0.7627,TRUE,A+,0.6127,TRUE,4,A++,TRUE
cg01079515,3,195576629,AC233280.1;AC233280.2;MUC20P1;RP11-141C7.4;SDHAP2,1;1;1;1;1,5,TRUE,TRUE,TRUE,3,0.528571428571429,0.575757575757576,0.884415584415584,0.818181818181818,0.557142857142857,0.781818181818182,,1,FALSE,I,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,A,blood,0.884,0.791,0.8507,TRUE,A+,0.6031,TRUE,3,A++,TRUE
cg01119278,6,110721349,DDO,1,1,TRUE,TRUE,TRUE,3,0.798701298701299,0.6,0.636363636363636,0.551515151515151,0.820779220779221,0.854545454545454,DDO;DDO,4,FALSE,II,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,B,,0.7482,0.7074,0.602,TRUE,B,0.6252,TRUE,3,B,TRUE
cg01200585,1,228362443,MRPL55;OBSCN,1;1,2,TRUE,TRUE,TRUE,3,0.850649350649351,0.709090909090909,0.835064935064935,0.709090909090909,0.77012987012987,0.381818181818182,C1orf69,5,FALSE,II,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,B,,0.5792,0.5194,0.4514,TRUE,B,0.5129,TRUE,3,B,TRUE
cg01236616,12,121019343,GATC;NRAV,1;-1,2,TRUE,TRUE,TRUE,3,0.561038961038961,0.781818181818182,0.654545454545455,0.660606060606061,0.731168831168831,0.636363636363636,POP5;POP5,9,FALSE,II,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,A,blood;buccal,0.6377,0.6542,0.6062,TRUE,A+,0.4883,FALSE,2,A++,TRUE
cg01256987,12,42539512,GXYLT1;ZCRB1,1;1,2,TRUE,TRUE,TRUE,3,0.620779220779221,0.878787878787879,0.541558441558442,0.672727272727273,0.503896103896104,0.696969696969697,GXYLT1;GXYLT1,2,FALSE,II,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,B,,0.3385,0.2987,0.4809,FALSE,B,0.2565,FALSE,1,B,TRUE
cg01262667,19,19385393,GATAD2A;HAPLN4;MAU2,-1;1;-1,3,TRUE,TRUE,TRUE,3,0.602597402597403,0.660606060606061,0.606493506493507,0.660606060606061,0.594805194805195,0.503030303030303,TM6SF2,1,FALSE,II,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,B,,0.4835,0.4431,0.2345,FALSE,B,0.2299,FALSE,1,B,TRUE
cg01299579,2,10830716,NOL10;RN7SL832P,-1;-1,2,TRUE,TRUE,TRUE,3,0.676623376623377,0.76969696969697,0.681818181818182,0.927272727272727,0.776623376623377,0.660606060606061,NOL10,5,FALSE,I,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,B,,0.6406,0.5781,0.4744,TRUE,B,0.5266,TRUE,3,B,TRUE
cg01352656,2,118561680,AC009404.1,1,1,TRUE,TRUE,TRUE,3,0.546753246753247,0.83030303030303,0.645454545454546,0.757575757575757,0.666233766233766,0.963636363636364,,0,TRUE,I,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,B,,0.4321,0.4121,0.4099,FALSE,B,0.6759,TRUE,2,B,TRUE
cg01485177,10,42863594,BX322639.1;CCNYL2;LINC00839,-1;-1;-1,3,TRUE,TRUE,TRUE,3,0.788311688311688,0.878787878787879,0.585714285714286,0.515151515151515,0.854545454545454,0.684848484848485,LOC441666,2,FALSE,II,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,B,,0.673,0.6877,0.5892,TRUE,B,0.6581,TRUE,3,B,TRUE
cg01528321,10,82214614,ANXA11,1,1,TRUE,TRUE,TRUE,3,0.824675324675325,0.648484848484848,0.731168831168831,0.76969696969697,0.81038961038961,0.539393939393939,TSPAN14;TSPAN14,6,FALSE,II,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,B,,0.6974,0.6894,0.6268,TRUE,B,0.3972,FALSE,2,B,TRUE
cg01577475,2,114033581,PAX8;PAX8-AS1,1;1,2,TRUE,TRUE,TRUE,3,0.607792207792208,0.684848484848485,0.61038961038961,0.818181818181818,0.84025974025974,0.442424242424242,PAX8;PAX8;PAX8;PAX8;PAX8;LOC440839,3,FALSE,I,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,A,saliva;buccal,0.4765,0.5032,0.1369,FALSE,A+,0.5958,TRUE,3,A++,TRUE
cg01579024,5,170288757,RANBP17,1,1,TRUE,TRUE,TRUE,3,0.693506493506494,0.842424242424242,0.764935064935065,0.76969696969697,0.641558441558442,0.83030303030303,RANBP17,11,FALSE,II,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,B,,0.8004,0.7809,0.6525,TRUE,B,0.602,TRUE,3,B,TRUE
cg01670029,8,144336241,MINCR,1,1,TRUE,TRUE,TRUE,3,0.71038961038961,0.806060606060606,0.842857142857143,0.684848484848485,0.827272727272727,0.733333333333333,ZFP41,,FALSE,I,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,A,saliva;blood;buccal,0.6664,0.6268,0.6025,TRUE,A+,,FALSE,3,A+,FALSE
cg01742263,5,138714339,DNAJC18;PROB1,-1;1,2,TRUE,TRUE,TRUE,3,0.606493506493507,0.648484848484848,0.722077922077922,0.793939393939394,0.679220779220779,0.866666666666667,SLC23A1;SLC23A1,6,FALSE,II,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,B,,0.5125,0.5107,0.5709,TRUE,B,0.4589,FALSE,2,B,TRUE
cg01833234,11,6592585,AC084337.1;RRP8,1;-1,2,TRUE,TRUE,TRUE,3,0.916883116883117,0.866666666666667,0.884415584415584,0.539393939393939,0.915584415584416,0.454545454545455,DNHD1,2,FALSE,II,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,B,,0.802,0.7939,0.777,TRUE,B,0.5575,TRUE,3,B,TRUE
cg01951420,3,121553821,IQCB1,1,1,TRUE,TRUE,TRUE,3,0.84025974025974,0.818181818181818,0.867532467532467,0.939393939393939,0.877922077922078,0.854545454545454,IQCB1;IQCB1;EAF2;IQCB1;IQCB1,10,FALSE,I,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,B,,0.7903,0.7047,0.878,TRUE,B,0.8716,TRUE,3,B,TRUE
cg02091185,5,170288766,RANBP17,1,1,TRUE,TRUE,TRUE,3,0.757142857142857,0.975757575757576,0.802597402597403,0.83030303030303,0.644155844155844,0.866666666666667,RANBP17,11,FALSE,I,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,B,,0.8093,0.7962,0.6393,TRUE,B,0.7023,TRUE,3,B,TRUE
cg02160872,5,212506,CCDC127,-1,1,TRUE,TRUE,TRUE,3,0.645454545454546,0.76969696969697,0.58961038961039,0.757575757575757,0.67012987012987,0.76969696969697,CCDC127,,FALSE,II,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,A,blood,0.6609,0.6962,0.6985,TRUE,A+,,FALSE,2,A+,FALSE
cg02398342,17,80708632,FN3KRP,-1,1,TRUE,TRUE,TRUE,3,0.807792207792208,0.963636363636364,0.835064935064935,0.903030303030303,0.898701298701299,0.915151515151515,TBCD;FN3K,4,FALSE,II,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,A,saliva;blood,0.7491,0.6932,0.6581,TRUE,A+,0.7662,TRUE,4,A++,TRUE
cg02493740,2,85810744,GGCX;PARTICL,-1;1,2,TRUE,TRUE,TRUE,3,0.601298701298701,0.757575757575757,0.61038961038961,0.721212121212121,0.761038961038961,0.357575757575757,VAMP5,3,FALSE,II,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,B,,0.5127,0.5737,0.4576,TRUE,B,0.346,FALSE,2,B,TRUE
cg02597199,15,101098829,AC027020.2;PRKXP1,1;1,2,TRUE,TRUE,TRUE,3,0.648051948051948,0.818181818181818,0.772727272727273,0.854545454545454,0.764935064935065,0.842424242424242,,,FALSE,I,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,A,blood,0.6365,0.5978,0.5875,TRUE,A+,,FALSE,2,A+,FALSE
cg02675527,2,114030824,PAX8;PAX8-AS1,1;1,2,TRUE,TRUE,TRUE,3,0.553246753246753,0.806060606060606,0.719480519480519,0.83030303030303,0.57012987012987,0.818181818181818,PAX8;PAX8;PAX8;PAX8;PAX8;LOC440839,1,FALSE,II,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,A,blood,0.7014,0.7207,0.2481,TRUE,A+,0.4351,FALSE,2,A++,TRUE
cg02719634,11,2924899,AC108448.3;SLC22A18;SLC22A18AS,1;-1;-1,3,TRUE,TRUE,TRUE,3,0.718181818181818,0.757575757575757,0.825974025974026,0.854545454545454,0.781818181818182,0.696969696969697,SLC22A18AS;SLC22A18;SLC22A18AS;SLC22A18,6,FALSE,II,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,A,blood,0.6235,0.6094,0.5042,TRUE,A+,0.4342,FALSE,2,A++,TRUE
cg02772935,3,125709198,AC092903.1;ALG1L;ROPN1B,-1;-1;-1,3,TRUE,TRUE,TRUE,3,0.635064935064935,0.696969696969697,0.688311688311688,0.806060606060606,0.809090909090909,0.648484848484848,,2,FALSE,I,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,A,blood;buccal,0.6538,0.5897,0.668,TRUE,A+,0.7635,TRUE,3,A++,TRUE
cg02781088,2,113192302,AC092645.1;FBLN7;RGPD8,1;1;-1,3,TRUE,TRUE,TRUE,3,0.614285714285714,0.939393939393939,0.685714285714286,0.721212121212121,0.663636363636364,0.757575757575757,RGPD8;RGPD5,,FALSE,I,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,B,,0.6892,0.6368,0.5569,TRUE,B,0.3282,FALSE,2,B,TRUE
cg02887458,19,19495540,GATAD2A;HAPLN4;MAU2,1;-1;1,3,TRUE,TRUE,TRUE,3,0.585714285714286,0.866666666666667,0.5,0.709090909090909,0.62987012987013,0.890909090909091,GATAD2A,1,FALSE,II,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,B,,0.5898,0.6042,0.4649,TRUE,B,0.5444,TRUE,3,B,TRUE
cg02917321,22,38215204,TRIOBP,-1,1,TRUE,TRUE,TRUE,3,0.520779220779221,0.660606060606061,0.579220779220779,0.575757575757576,0.707792207792208,0.890909090909091,,3,FALSE,II,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,B,,0.3519,0.365,-0.047,FALSE,B,0.2621,FALSE,1,B,TRUE
cg02932314,17,42733698,DBF4B,-1,1,TRUE,TRUE,TRUE,3,0.676623376623377,0.709090909090909,0.641558441558442,0.648484848484848,0.706493506493507,0.672727272727273,C17orf104,9,FALSE,II,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,B,,0.3936,0.3871,0.4613,FALSE,B,0.308,FALSE,1,B,TRUE
cg02959988,1,40075124,OXCT2P1,-1,1,TRUE,TRUE,TRUE,3,0.811688311688312,0.515151515151515,0.866233766233766,0.745454545454545,0.862337662337662,0.793939393939394,,,FALSE,I,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,A,blood,0.7029,0.6615,0.6794,TRUE,A+,0.5552,TRUE,3,A++,TRUE
cg03084184,10,133981681,DPYSL4;JAKMIP3,1;-1,2,TRUE,TRUE,TRUE,3,0.942857142857143,1,0.897402597402597,0.951515151515151,0.936363636363636,0.951515151515151,JAKMIP3,,FALSE,I,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,A,saliva;blood;buccal,0.8846,0.8508,0.8426,TRUE,A+,,FALSE,3,A+,FALSE
cg03115019,17,80708279,FN3KRP,-1,1,TRUE,TRUE,TRUE,3,0.885714285714286,0.842424242424242,0.920779220779221,0.83030303030303,0.949350649350649,0.696969696969697,FN3K,4,FALSE,II,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,A,blood;buccal,0.7131,0.6886,0.7331,TRUE,A+,0.6294,TRUE,3,A++,TRUE
cg03126765,16,3125838,ZNF213-AS1,1,1,TRUE,TRUE,TRUE,3,0.609090909090909,0.818181818181818,0.736363636363636,0.793939393939394,0.731168831168831,0.854545454545454,,0,TRUE,II,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,B,,0.6412,0.6247,0.7252,TRUE,B,0.4068,FALSE,2,B,TRUE
cg03168497,17,48586147,MYCBPAP,-1,1,TRUE,TRUE,TRUE,3,0.676623376623377,0.890909090909091,0.750649350649351,0.818181818181818,0.750649350649351,0.83030303030303,MYCBPAP,5,FALSE,II,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,A,blood,0.7543,0.74,0.7634,TRUE,A+,0.4041,FALSE,2,A++,TRUE
cg03188948,7,1209495,C7ORF50,1,1,TRUE,TRUE,TRUE,3,0.674025974025974,0.745454545454545,0.657142857142857,0.636363636363636,0.818181818181818,0.757575757575757,,3,FALSE,I,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,A,saliva,0.7815,0.761,0.7773,TRUE,A+,0.717,TRUE,4,A++,TRUE
cg03299479,16,4470005,CDIP1;CORO7;NMRAL1,1;-1;1,3,TRUE,TRUE,TRUE,3,0.766233766233766,0.672727272727273,0.775324675324675,0.781818181818182,0.763636363636364,0.866666666666667,,0,TRUE,II,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,A,saliva;blood,0.6363,0.5293,0.7212,TRUE,A+,0.6324,TRUE,4,A++,TRUE
cg03396347,1,1875803,CFAP74,-1,1,TRUE,TRUE,TRUE,3,0.893506493506493,0.951515151515151,0.85974025974026,0.987878787878788,0.877922077922078,0.963636363636364,,3,FALSE,II,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,A,saliva;buccal,0.7284,0.7218,0.5344,TRUE,A+,0.7463,TRUE,4,A++,TRUE
cg03418136,15,101095730,AC027020.2;PRKXP1,1;1,2,TRUE,TRUE,TRUE,3,0.620779220779221,0.939393939393939,0.685714285714286,0.781818181818182,0.548051948051948,0.903030303030303,,,FALSE,I,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,B,,0.615,0.5319,0.5689,TRUE,B,,FALSE,2,B,FALSE
cg03441844,1,161368947,AL592295.6,-1,1,TRUE,TRUE,TRUE,3,0.761038961038961,0.878787878787879,0.768831168831169,0.866666666666667,0.680519480519481,0.878787878787879,,5,FALSE,II,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,A,buccal,0.5473,0.461,0.5094,TRUE,A+,0.3842,FALSE,2,A++,TRUE
cg03526776,6,41159608,ADCY10P1,1,1,TRUE,TRUE,TRUE,3,0.706493506493507,0.915151515151515,0.850649350649351,0.781818181818182,0.809090909090909,0.939393939393939,TREML2,0,TRUE,II,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,B,,0.4243,0.4445,0.3925,FALSE,B,0.3589,FALSE,1,B,TRUE
cg03634822,6,169013150,SMOC2,1,1,TRUE,TRUE,TRUE,3,0.84025974025974,0.527272727272727,0.825974025974026,0.806060606060606,0.896103896103896,0.6,SMOC2;SMOC2,,FALSE,II,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,A,blood,0.7341,0.7096,0.7731,TRUE,A+,,FALSE,2,A+,FALSE
cg03669143,3,134032590,AC010207.1,1,1,TRUE,TRUE,TRUE,3,0.790909090909091,0.854545454545454,0.706493506493507,0.927272727272727,0.532467532467532,0.854545454545454,,4,FALSE,II,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,B,,0.3948,0.3979,0.3725,FALSE,B,0.2171,FALSE,1,B,TRUE
cg03733263,8,22462867,C8ORF58,1,1,TRUE,TRUE,TRUE,3,0.555844155844156,0.709090909090909,0.766233766233766,0.684848484848485,0.787012987012987,0.272727272727273,KIAA1967;KIAA1967;KIAA1967,7,FALSE,I,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,B,,0.7,0.644,0.7384,TRUE,B,0.6454,TRUE,3,B,TRUE
cg03748376,1,248100585,OR2L13;OR2L2;OR2M4,-1;-1;-1,3,TRUE,TRUE,TRUE,3,0.888311688311688,0.757575757575757,0.9,0.563636363636364,0.936363636363636,0.733333333333333,OR2L13;OR2L13,9,FALSE,I,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,A,blood;buccal,0.9191,0.8792,0.9164,TRUE,A+,0.76,TRUE,3,A++,TRUE
cg04025307,7,1156635,ZFAND2A-DT,-1,1,TRUE,TRUE,TRUE,3,0.520779220779221,0.745454545454545,0.715584415584416,0.927272727272727,0.862337662337662,0.672727272727273,C7orf50;C7orf50;C7orf50,,FALSE,II,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,A,saliva;blood;buccal,0.7962,0.7634,0.7418,TRUE,A+,,FALSE,3,A+,FALSE
cg04131969,2,33951647,AC017050.1,-1,1,TRUE,TRUE,TRUE,3,0.916883116883117,0.903030303030303,0.887012987012987,0.903030303030303,0.905194805194805,0.939393939393939,MYADML,0,TRUE,II,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,A,saliva;blood;buccal,0.9076,0.8709,0.8838,TRUE,A+,0.8864,TRUE,4,A++,TRUE
cg04136259,7,1581522,INTS1,1,1,TRUE,TRUE,TRUE,3,0.766233766233766,0.745454545454545,0.723376623376623,0.757575757575757,0.627272727272727,0.745454545454545,MAFK,5,FALSE,I,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,A,saliva;blood;buccal,0.8103,0.7338,0.7711,TRUE,A+,0.5325,TRUE,4,A++,TRUE
cg04306507,14,55594613,AL158801.2;WDHD1,-1;-1,2,TRUE,TRUE,TRUE,3,0.633766233766234,0.745454545454545,0.685714285714286,0.709090909090909,0.609090909090909,0.793939393939394,LGALS3,0,TRUE,II,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,B,,0.5791,0.6095,0.4802,TRUE,B,0.4266,FALSE,2,B,TRUE
cg04346459,6,41068666,ADCY10P1,-1,1,TRUE,TRUE,TRUE,3,0.642857142857143,0.612121212121212,0.766233766233766,0.515151515151515,0.738961038961039,0.527272727272727,NFYA;NFYA;LOC221442,8,FALSE,I,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,B,,0.3578,0.4274,0.1366,FALSE,B,0.3804,FALSE,1,B,TRUE
cg04395798,10,42971732,BX322639.1;CCNYL2;LINC00839,-1;-1;-1,3,TRUE,TRUE,TRUE,3,0.609090909090909,0.76969696969697,0.696103896103896,0.866666666666667,0.694805194805195,0.587878787878788,LOC84856,1,FALSE,I,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,B,,0.6364,0.6183,0.5124,TRUE,B,0.5755,TRUE,3,B,TRUE
cg04398451,17,18023971,TOM1L2,1,1,TRUE,TRUE,TRUE,3,0.893506493506493,0.781818181818182,0.779220779220779,0.793939393939394,0.850649350649351,0.890909090909091,MYO15A,2,FALSE,I,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,A,saliva;blood;buccal,0.7916,0.7236,0.7652,TRUE,A+,0.8203,TRUE,4,A++,TRUE
cg04414720,1,150670196,CTSS;HORMAD1,1;1,2,TRUE,TRUE,TRUE,3,0.707792207792208,0.709090909090909,0.61948051948052,0.903030303030303,0.802597402597403,0.781818181818182,GOLPH3L,7,FALSE,II,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,A,blood;buccal,0.5337,0.553,0.514,TRUE,A+,0.5397,TRUE,3,A++,TRUE
cg04450003,12,50355995,AQP5,-1,1,TRUE,TRUE,TRUE,3,0.725974025974026,0.903030303030303,0.587012987012987,0.939393939393939,0.580519480519481,0.866666666666667,AQP5,2,FALSE,II,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,B,,0.6561,0.6662,0.5936,TRUE,B,0.3625,FALSE,2,B,TRUE
cg04518186,11,77299962,AQP11,1,1,TRUE,TRUE,TRUE,3,0.572727272727273,0.612121212121212,0.501298701298701,0.648484848484848,0.736363636363636,0.745454545454545,AQP11,,FALSE,II,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,B,,0.5851,0.5187,0.5459,TRUE,B,0.6392,TRUE,3,B,TRUE
cg04536393,16,1479150,CCDC154,1,1,TRUE,TRUE,TRUE,3,0.801298701298701,0.83030303030303,0.874025974025974,0.709090909090909,0.807792207792208,0.721212121212121,C16orf91,,FALSE,II,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,A,blood,0.7477,0.6839,0.7058,TRUE,A+,0.5456,TRUE,3,A++,TRUE
cg04553112,3,125709451,AC092903.1;ALG1L;ROPN1B,-1;-1;-1,3,TRUE,TRUE,TRUE,3,0.819480519480519,0.915151515151515,0.772727272727273,0.963636363636364,0.815584415584416,0.878787878787879,,,FALSE,II,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,A,buccal,0.7142,0.7063,0.6671,TRUE,A+,0.7161,TRUE,3,A++,TRUE
cg04647918,11,67383862,GSTP1,1,1,TRUE,TRUE,TRUE,3,0.88051948051948,0.878787878787879,0.706493506493507,0.575757575757576,0.775324675324675,0.757575757575757,,7,FALSE,II,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,B,,0.5579,0.5586,0.4615,TRUE,B,0.4976,FALSE,2,B,TRUE
cg04692870,22,42525206,CYP2D6,-1,1,TRUE,TRUE,TRUE,3,0.719480519480519,0.745454545454545,0.703896103896104,0.6,0.649350649350649,0.818181818181818,CYP2D6;CYP2D6,0,TRUE,II,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,A,blood;buccal,0.6244,0.6174,0.5623,TRUE,A+,0.5618,TRUE,3,A++,TRUE
cg04795638,17,15468098,TEKT3;TVP23C,1;1,2,TRUE,TRUE,TRUE,3,0.788311688311688,0.757575757575757,0.696103896103896,0.684848484848485,0.871428571428571,0.466666666666667,FAM18B2;FAM18B2,,FALSE,II,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,A,saliva;blood;buccal,0.6592,0.6476,0.6581,TRUE,A+,,FALSE,3,A+,FALSE
